time;model_id;model_name;port_name;data
0;3;ask-2;;{1,1,50,0,0}
0;4;filter_s-2;;{0,0}
0;6;ask-1;;{1,1,30,0,0}
0;7;filter_s-1;;{0,0}
0;9;bid-5;;{1,1,25,0,0}
0;10;filter_b-5;;{0,0}
0;12;bid-4;;{1,1,40,0,0}
0;13;filter_b-4;;{0,0}
0;15;bid-3;;{1,1,30,0,0}
0;16;filter_b-3;;{0,0}
0;18;bid-2;;{1,1,25,0,0}
0;19;filter_b-2;;{0,0}
0;21;bid-1;;{1,1,20,0,0}
0;22;filter_b-1;;{0,0}
0;24;ask-4;;{1,1,70,0,0}
0;25;filter_s-4;;{0,0}
0;27;ask-3;;{1,1,60,0,0}
0;28;filter_s-3;;{0,0}
0;29;auctioneer;;{4,1,0,0,0,0,}
0;30;analysis;;{1,0,0,0,0}
1;3;ask-2;out;{2,50}
1;3;ask-2;;{0,1,50,0,0}
1;6;ask-1;out;{1,30}
1;6;ask-1;;{0,1,30,0,0}
1;9;bid-5;out;{5,25}
1;9;bid-5;;{0,1,25,0,0}
1;12;bid-4;out;{4,40}
1;12;bid-4;;{0,1,40,0,0}
1;15;bid-3;out;{3,30}
1;15;bid-3;;{0,1,30,0,0}
1;18;bid-2;out;{2,25}
1;18;bid-2;;{0,1,25,0,0}
1;21;bid-1;out;{1,20}
1;21;bid-1;;{0,1,20,0,0}
1;24;ask-4;out;{4,70}
1;24;ask-4;;{0,1,70,0,0}
1;27;ask-3;out;{3,60}
1;27;ask-3;;{0,1,60,0,0}
1;29;auctioneer;;{3,1,1,0,0,0,{1,30,0},{2,50,0},{3,60,0},{4,70,0},{1,20,0}{2,25,0}{3,30,0}{4,40,0}{5,25,0}}
4;29;auctioneer;;{3,1,0,1,0,65,{1,30,1},{2,50,0},{3,60,0},{4,70,0},{1,20,0}{2,25,1}{3,30,1}{4,40,1}{5,25,0}}
4;4;filter_s-2;;{1,0}
4;7;filter_s-1;;{1,1}
4;10;filter_b-5;;{1,0}
4;13;filter_b-4;;{1,1}
4;16;filter_b-3;;{1,1}
4;19;filter_b-2;;{1,1}
4;22;filter_b-1;;{1,0}
4;25;filter_s-4;;{1,0}
4;28;filter_s-3;;{1,0}
4;29;auctioneer;bid_out;{1,0}
4;29;auctioneer;bid_out;{2,1}
4;29;auctioneer;bid_out;{3,1}
4;29;auctioneer;bid_out;{4,1}
4;29;auctioneer;bid_out;{5,0}
4;29;auctioneer;ask_out;{1,1}
4;29;auctioneer;ask_out;{2,0}
4;29;auctioneer;ask_out;{3,0}
4;29;auctioneer;ask_out;{4,0}
4;29;auctioneer;surplus;{1,65}
4;29;auctioneer;;{4,2,0,0,0,65,{1,30,1},{2,50,0},{3,60,0},{4,70,0},{1,20,0}{2,25,1}{3,30,1}{4,40,1}{5,25,0}}
4;30;analysis;;{1,0,0,65,65}
5;3;ask-2;;{1,2,40,1,0}
5;4;filter_s-2;out;{2,0}
5;4;filter_s-2;;{0,0}
5;6;ask-1;;{0,2,30,1,10}
5;7;filter_s-1;out;{1,1}
5;7;filter_s-1;;{0,1}
5;9;bid-5;;{1,2,50,1,0}
5;10;filter_b-5;out;{5,0}
5;10;filter_b-5;;{0,0}
5;12;bid-4;;{0,2,40,1,20}
5;13;filter_b-4;out;{4,1}
5;13;filter_b-4;;{0,1}
5;15;bid-3;;{0,2,30,1,20}
5;16;filter_b-3;out;{3,1}
5;16;filter_b-3;;{0,1}
5;18;bid-2;;{0,2,25,1,15}
5;19;filter_b-2;out;{2,1}
5;19;filter_b-2;;{0,1}
5;21;bid-1;;{1,2,40,1,0}
5;22;filter_b-1;out;{1,0}
5;22;filter_b-1;;{0,0}
5;24;ask-4;;{1,2,60,1,0}
5;25;filter_s-4;out;{4,0}
5;25;filter_s-4;;{0,0}
5;27;ask-3;;{1,2,50,1,0}
5;28;filter_s-3;out;{3,0}
5;28;filter_s-3;;{0,0}
6;3;ask-2;out;{2,40}
6;3;ask-2;surplus;{1,0}
6;3;ask-2;;{0,2,40,0,0}
6;6;ask-1;surplus;{1,10}
6;6;ask-1;;{0,2,30,0,10}
6;9;bid-5;out;{5,50}
6;9;bid-5;surplus;{1,0}
6;9;bid-5;;{0,2,50,0,0}
6;12;bid-4;surplus;{1,20}
6;12;bid-4;;{0,2,40,0,20}
6;15;bid-3;surplus;{1,20}
6;15;bid-3;;{0,2,30,0,20}
6;18;bid-2;surplus;{1,15}
6;18;bid-2;;{0,2,25,0,15}
6;21;bid-1;out;{1,40}
6;21;bid-1;surplus;{1,0}
6;21;bid-1;;{0,2,40,0,0}
6;24;ask-4;out;{4,60}
6;24;ask-4;surplus;{1,0}
6;24;ask-4;;{0,2,60,0,0}
6;27;ask-3;out;{3,50}
6;27;ask-3;surplus;{1,0}
6;27;ask-3;;{0,2,50,0,0}
6;29;auctioneer;;{2,2,1,0,0,65,{1,30,1},{2,40,0},{3,50,0},{4,60,0},{1,40,0}{2,25,1}{3,30,1}{4,40,1}{5,50,0}}
6;30;analysis;;{1,55,10,65,130}
6.5;30;analysis;out_total_surplus;130
6.5;30;analysis;out_buyer_surplus;55
6.5;30;analysis;out_seller_surplus;10
6.5;30;analysis;out_auctioneer_surplus;65
6.5;30;analysis;;{2,0,0,0,0}
8;29;auctioneer;;{2,2,0,1,0,75,{1,30,0},{2,40,0},{3,50,1},{4,60,1},{1,40,1}{2,25,1}{3,30,1}{4,40,1}{5,50,1}}
8;4;filter_s-2;;{1,0}
8;7;filter_s-1;;{1,0}
8;10;filter_b-5;;{1,1}
8;13;filter_b-4;;{1,1}
8;16;filter_b-3;;{1,1}
8;19;filter_b-2;;{1,1}
8;22;filter_b-1;;{1,1}
8;25;filter_s-4;;{1,1}
8;28;filter_s-3;;{1,1}
8;29;auctioneer;bid_out;{1,1}
8;29;auctioneer;bid_out;{2,1}
8;29;auctioneer;bid_out;{3,1}
8;29;auctioneer;bid_out;{4,1}
8;29;auctioneer;bid_out;{5,1}
8;29;auctioneer;ask_out;{1,0}
8;29;auctioneer;ask_out;{2,0}
8;29;auctioneer;ask_out;{3,1}
8;29;auctioneer;ask_out;{4,1}
8;29;auctioneer;surplus;{2,75}
8;29;auctioneer;;{4,3,0,0,0,75,{1,30,0},{2,40,0},{3,50,1},{4,60,1},{1,40,1}{2,25,1}{3,30,1}{4,40,1}{5,50,1}}
8;30;analysis;;{2,0,0,75,75}
9;3;ask-2;;{1,3,30,1,0}
9;4;filter_s-2;out;{2,0}
9;4;filter_s-2;;{0,0}
9;6;ask-1;;{1,3,20,1,0}
9;7;filter_s-1;out;{1,0}
9;7;filter_s-1;;{0,0}
9;9;bid-5;;{0,3,50,1,0}
9;10;filter_b-5;out;{5,1}
9;10;filter_b-5;;{0,1}
9;12;bid-4;;{0,3,40,1,20}
9;13;filter_b-4;out;{4,1}
9;13;filter_b-4;;{0,1}
9;15;bid-3;;{0,3,30,1,20}
9;16;filter_b-3;out;{3,1}
9;16;filter_b-3;;{0,1}
